	sentiment	review_body
0	0	After deleting my old version, still get pop ups telling im unprotected. if you dont mind dealing with that, its fine.
1	0	"Good product. They should tell you about the \\""insurance tax\\"" that they tack on when you go to pay for the product."
2	0	Great product, I can now completely work from home with my macbook. It is even better for Mac than PC.
3	1	I love Adobe Photoshop Elements 12.  It was very quick to download and I use it almost every day for cards and scrapbooking.
4	0	I got Adobe Photoshop Elements 9 because a friend who is an expert in computers advised me to get.  I have no idea how it works...I don't know much about computers so I will have to discover how this program works...so far it looks quite complicated for my level!
5	0	I NEED to be able to post against an Accounts Receivable and an Accounts Payable in the same general ledger entry!  PeachTree allows you to do so...
6	-1	Microsoft support does not have a clue about their own product support, licensing, or how it works. Each person you talk to at Microsoft support says different things. Here are some of the fallacies I was told:<br />1. You can have as many licenses in your account as you need if you have 10-15 computers, notebooks, and tablets for your whole family, just add more licenses - this is not true. If you load a second or third license into your account, Microsoft extends out the expiration period a year per license, but does not allow more than 5 devices per account. So if you load three licenses you get three years for just 5 devices.<br />2. Each home licenses supports up to 10 devices. No; despite Microsoft support insisting the license for 5 allows ten. They are wrong a license for 5 is for 5.<br />3.  I'll transfer you to the group that can help you. Wrong again, all Microsoft does on a transfer is hang up.<br />4. I can help you. No there is no Microsoft person who can help you if you make the mistake of adding two licenses to one account. All they can do is punish you for making that mistake<br />5. Our license agreement clearly shows that you cannot add more than one license to one account it is located at: [...]  [...]  [...]  Wrong again; at some point they may put that there but so far no one at Microsoft can point to a page that shows that.<br />Regarding the Office 365, once you slog through the incompetence at Microsoft support the Office works fine, but frankly Office 2010 is more intuitive. Why does Microsoft move around functions to make them hard to find?
7	1	Performs as expected.
8	1	My first foray into video editing. I did a trial of  After Effects and it was just too much. I spent a fair amount of time watching YouTube tutorials for MS and within a couple of weeks felt pretty comfortable using the software. The program has not crashed once and since I learned some tips about previewing video, it's been pretty smooth. If you're new to this kind of stuff, do yourself a favor and devote as much time as possible to watching the YT tutorials. It'll save you a lot of time and frustration.
9	0	As far as Amazon goes, everything went fine. The code worked. Hopefully it will still work when I get my next update. The download takes forever...like hours. My disappointment was with Garmin. They have on their website that the updates provide you with most recent stuff. Almost sorry I bought the updates because there were still plenty of places on my GPS that had been closed for years and places that are open but still not listed on my GPS. Additionally my GPS takes a lot longer to recalculate to the point where I either have to slow down or go through like 3 recalculations before I can make one of them. I imagine this is due to more space being taken up on the GPS.
10	1	I went from Quicken 2011 to 2013.  (Generally, I don't find it worth it every year, so I do it every other year.)<br /><br />The main issue I had with 2011 was during update - about 15% of the time - it would error and I'd have to force quit it.  This would especially happen if I was surfing the web at the same time.  Also with some of my financial providers it would sometimes just say try again later, but the whole program wouldn't crash.<br /><br />So far 2013 hasn't done that, which is nice, and seems to not error on any specific account.  These were the main things I was hoping to fix.  I wasn't confident it would from the other reviews, but perhaps they were early adopters, fully updated it seems stable.<br /><br />Some graphs are a bit better and the interface is cleaner, but it's mostly the same.<br /><br />I haven't tried the mobile app nor the cloud service.  (I use CrashPlan for backups.)<br /><br />It does what quicken does, there aren't a ton of alternatives that would keep all my data.  New features aren't huge as it's kind of a mature product.
11	1	Best antivirus around! I've tried MANY and this one is a blast. Love the audio reminders, auto-updates and notifications when other programs need security updates. Get the free version - it is non-intrusive and REALLY powerful.
12	0	I have been using the HR Block software for many years, and until this year I have been very satisfied and I have not have any problems. This year however, the process for submitting the return has been a nightmare. This may well be caused by circumstances out of HR Block's control, like our elected politicians having a stick up a certain body part, but my issue is that HR Block has not done a good job in explaining what is going on. I have lost count on how many HR Block customer reps I have been talking to, and the software has not been helpful either, giving conflicting status information. After 5 weeks still waiting for my return to go through...
13	-1	With the crippling and removing of important forms for e-filing in TurboTax Deluxe, like Schedules C, D, and E, I am rating this one star. I use to use this product but I can't anymore.<br /><br />Avoid TurboTax if you can and go with a better product that doesn't try to gouge you with surprise upgrade fees when you are doing your taxes. If you are able to easily move from TurboTax, than take advantage of that and switch now before you get locked in and it becomes more complicated to switch.<br /><br />And don't forget that Intuit has lobbied Congress in the past to kill any chance of simplified IRS tax filing. You can probably guess why they would not want people to quickly and easily be able to file their taxes without their software. Search Google for &#34;Intuit lobbying congress against simple filing&#34; and &#34;Corruption Is Why You Can't Do Your Taxes in Five Minutes&#34; for more info.
14	-1	doesn't work with the newest operating system
15	0	It's MS, what can you say? Some of the features included were ones long overdue, others new and very smart, but with MS they have to find places to take two steps back. Schools make you buy this for their convenience when older versions would work just fine. Just another college, money raking kick back scheme to help fleece students because they don't cover this with all of the tuition and innumerable fees.<br /><br />In most regards, I like my older version of office I had already bought and paid for. This version may be better for people with different wants or needs in their use, but so far I have not seen enough improvements to have otherwise updated
16	1	it walked me thru federal and state taxes like it was supposed to.
17	0	"Quicken 2012 is fine...except for the new \\""advanced\\"" budget.  I am quite precise with my finances...so not displaying cents in the advanced budget is stupid to me. Sure, you can enter cents, but they don't display - and not only that - if you accidently highlight a cell that has cents and make no update, it removes the cents. Makes no \\""sense\\"" to me. When setting up the advanced budget - it does not display the difference between income and expense. How stupid is that? Isn't that one of the main purposes of a budget? Seems they had someone develop the darn thing without talking to or observing users like me. Am I alone?  Other than the budget, it is as good - not better - than 2010 or 2011."
18	1	Avast was recommended by my son-in-law, who has a master's degree in computers.  I am enjoying Avast's timely communication with its recipients and will recommend it to others.
19	1	I love the quicken software but with the 1st update, it erased all my entries for from the time I first used it.  Now I won't get updates and when I tried to contact Intuit, they're useless. Backup seems to be working again but after that particular update I could not find any backup files!  Quicken need competition.  Otherwise, it still works great.
20	0	I found it easy to use, however it is not letting meimport the data from American Express data so far.
21	1	I was able to upload my info from last year's return even though I used different software. Easy to use and seemed very thorough. I used this version because I rent out my former home. Not giving it 5 stars because $20 to file state electronically. I know this is a standard price but I don't have to like it.
22	0	I installed Quicken 2015 to upgrade from the 2012 version.  I didn't find much difference.  I don't use many bells and whistles so that could explain why I didn't find any.  The install was simple and easy.  One thing I don't like is having to enter a password every time I start it.  I was given the option with the install and now I don't know how to eliminate it...
23	0	Be warned that the QuickBooks for Mac is missing one of the most important features of the Windows version - the ability to sent a file to your accountant. They do offer a &#34;work around&#34; which is to send a backup file to your accountant and restore that when it comes back, but then you can't enter any transactions while the accountant has the file or they will be lost.<br /><br />I can't believe they left out this essential feature.
24	1	Just what I was looking for. Lots of info on each word. Plenty of options for search.
25	1	very good anti-virus with useful tools.  I've been using it for years.  I would and do recommend iy.
26	0	This product accomplishes some of the things it promises. The easier processes are fairly automatic and accurate. The more difficult the task, the more likely the program is to tell you how to do it manually. It does seem like each year there are more glitches, maybe due to the tax code getting more screwed up each year, or maybe they're just not putting enough effort into the business software.
27	1	I've used this program in several versions over the last few years. I'm not a professional photographer but I do a lot of photography and have found this program to do all of the functions I need and it's reasonable to figure out. For the price it does a great job of editing photos. As for the registering it's been a good deal for me I get half price upgrades and they are a very easy company to get help from.
28	-1	What a ripoff.  Amazon says in their email promo - $10 discount refund bonus.  Implying you get a $10 credit towards future Amazon purchases.<br /><br />I clicked on the ad and go to the Amazon page for downloading Turbotax.  Looked at the page carefully for details of the bonus refund.  Nothing... except in the title &#34;Refund Bonus Offer...&#34;<br /><br />So I go ahead and purchase Turbotax figuring the bonus will show up.  What do I get??? After purchasing turbotax I got an email saying $8 towards purchasing Norton 360.  To me - that's a blatant bait and switch.  In addition - I hate Norton.  It sucks up all the computer's resources and keeps you waiting forever for updates.<br /><br />I've noticed Amazon has become more and more deceptive.  Not good practice.  I've bought a lot of stuff off of Amazon - From now on they won't be a primary source when doing my on-line shopping.
29	-1	I'm frustrated and disappointed that a company I've trusted for years made changes to their product that required me to buy a more expensive version of a program that I've used for years.<br /><br />I was able to get the &#34;free&#34; upgrade to premier version,  but I ended up on the phone for over 90 minutes just to get a code for that change.<br /><br />I had to call a second time so that I could e-file and use my credit card. That took another hour of my time. A great product in past years is a complete wreck this year.
30	0	We use QB2013 and it works...  WHEN IT WORKS.  Back up your company files and be vigilant, you are sure to run into a data error or crash at some points - for us it has been several.  Good program feature-wise, but BUGS, BUGS, BUGS that you shouldn't see in commercial software.
31	1	I have like this product due to the fact that it's non intrusive.<br />Great price!<br />and McAfee has excellent tech support.
